"Demographics","Subgroup","Total Cases","Year","Whites","Blacks","Chicanos/Hispanics","Asian-Americans"
"education","College grad+","200","1968","75.8","68.7","NA","NA"
"education","College grad+","169","1970","70.6","66.1","NA","NA"
"education","College grad+","292","1972","71.8","64.2","NA","NA"
"education","College grad+","209","1974","72.8","62.1","NA","NA"
"education","College grad+","297","1976","68.5","59","55.7","NA"
"education","College grad+","245","1980","71.1","61.6","58.6","NA"
"education","College grad+","248","1982","68.3","63.2","NA","NA"
"education","College grad+","340","1984","74.1","69.4","64.9","NA"
"education","College grad+","405","1986","NA","67.9","NA","NA"
"education","College grad+","361","1988","71.1","63.4","59.8","NA"
"education","College grad+","366","1990","NA","73.3","NA","NA"
"education","College grad+","510","1992","68.2","64.9","62.5","63.1"
"education","College grad+","427","1994","68.9","65.2","65.7","NA"
"education","College grad+","422","1996","67.7","64.7","64.1","NA"
"education","College grad+","336","1998","68.7","67.3","NA","NA"
"education","College grad+","470","2000","71.2","68.5","66.1","69.2"
"education","College grad+","449","2002","67.3","66.5","64.2","66.3"
"education","College grad+","317","2004","73.1","73.8","71.4","72.1"
"education","College grad+","443","2008","72.3","69.7","67.8","69.2"
"education","College grad+","462","2012","73.6","67.9","68.3","69.3"
"education","College grad+","1430","2016","71.9","71.1","71.9","73.1"
"education","College grad+","3283","2020","70.6","74.3","74.6","75.2"
"education","College grad+","2235","2024","68.4","72.1","72.3","72.9"
"race","White, non-Hispanic","1367","1964","86.7","60.7","NA","NA"
"race","White, non-Hispanic","1126","1966","85.7","60.4","NA","NA"
"race","White, non-Hispanic","1344","1968","82.4","61.7","NA","NA"
"race","White, non-Hispanic","1303","1970","78.8","58.7","NA","NA"
"race","White, non-Hispanic","1871","1972","79.7","61.2","NA","NA"
"race","White, non-Hispanic","1345","1974","79.8","63.3","NA","NA"
"race","White, non-Hispanic","1637","1976","74.7","57.9","54.3","NA"
"race","White, non-Hispanic","1158","1980","77.4","60.6","56.2","NA"
"race","White, non-Hispanic","1118","1982","73.6","62.1","NA","NA"
"race","White, non-Hispanic","1538","1984","74.9","62.5","58.1","NA"
"race","White, non-Hispanic","1598","1986","NA","63.2","NA","NA"
"race","White, non-Hispanic","1337","1988","73.8","57.4","53.6","NA"
"race","White, non-Hispanic","1443","1990","NA","66.7","NA","NA"
"race","White, non-Hispanic","1708","1992","71.4","61.3","58.2","58.4"
"race","White, non-Hispanic","1345","1994","71.2","59.5","58","NA"
"race","White, non-Hispanic","1181","1996","70.8","63","60.8","NA"
"race","White, non-Hispanic","906","1998","69.8","66.4","NA","NA"
"race","White, non-Hispanic","1153","2000","73","64.3","61.7","64"
"race","White, non-Hispanic","1023","2002","68.5","65.6","62.6","63"
"race","White, non-Hispanic","749","2004","73.7","69.1","66.2","67.2"
"race","White, non-Hispanic","1028","2008","73.2","66.1","62.3","64.2"
"race","White, non-Hispanic","855","2012","73.1","62.7","61.6","62.8"
"race","White, non-Hispanic","2595","2016","73.3","66.9","66.3","68.2"
"race","White, non-Hispanic","5292","2020","71.2","69.9","70.2","70.2"
"race","White, non-Hispanic","3484","2024","70.2","69.5","69.1","69.7"
"race","Black, non-Hispanic","155","1964","66.8","91.9","NA","NA"
"race","Black, non-Hispanic","131","1966","72.9","87.9","NA","NA"
"race","Black, non-Hispanic","144","1968","67.9","91.5","NA","NA"
"race","Black, non-Hispanic","144","1970","64.3","87.4","NA","NA"
"race","Black, non-Hispanic","208","1972","64.9","89.8","NA","NA"
"race","Black, non-Hispanic","139","1974","72.8","86.7","NA","NA"
"race","Black, non-Hispanic","167","1976","67.5","87.9","62.9","NA"
"race","Black, non-Hispanic","158","1980","79.1","91.2","65.8","NA"
"race","Black, non-Hispanic","144","1982","69","78.3","NA","NA"
"race","Black, non-Hispanic","201","1984","71.2","78.5","60.9","NA"
"race","Black, non-Hispanic","301","1986","NA","82.7","NA","NA"
"race","Black, non-Hispanic","202","1988","69.5","83.5","62.6","NA"
"race","Black, non-Hispanic","245","1990","NA","83.9","NA","NA"
"race","Black, non-Hispanic","275","1992","71.7","88","67.2","61.8"
"race","Black, non-Hispanic","191","1994","75.2","82.5","68.3","NA"
"race","Black, non-Hispanic","157","1996","76.6","84.7","73.3","NA"
"race","Black, non-Hispanic","143","1998","77","84.1","NA","NA"
"race","Black, non-Hispanic","149","2000","73.8","82.2","67.1","65.1"
"race","Black, non-Hispanic","111","2002","63.4","68.9","60.5","60.4"
"race","Black, non-Hispanic","153","2004","74","87.3","68.7","66.4"
"race","Black, non-Hispanic","491","2008","75.2","85.9","69.1","68.7"
"race","Black, non-Hispanic","474","2012","71.5","85.5","72.4","70"
"race","Black, non-Hispanic","336","2016","65","83.2","69.5","66.5"
"race","Black, non-Hispanic","623","2020","62.4","85.5","71.2","66.4"
"race","Black, non-Hispanic","427","2024","66","82.6","69","67.1"
"race","Hispanic","12","1966","NA","NA","NA","NA"
"race","Hispanic","12","1968","NA","NA","NA","NA"
"race","Hispanic","14","1970","NA","NA","NA","NA"
"race","Hispanic","26","1972","NA","NA","NA","NA"
"race","Hispanic","22","1974","NA","NA","NA","NA"
"race","Hispanic","36","1976","NA","NA","NA","NA"
"race","Hispanic","51","1980","78.3","65.7","75.6","NA"
"race","Hispanic","46","1982","66.3","59.1","NA","NA"
"race","Hispanic","115","1984","72.5","64.7","74.4","NA"
"race","Hispanic","116","1986","NA","69.5","NA","NA"
"race","Hispanic","138","1988","72.8","68.5","80.4","NA"
"race","Hispanic","157","1990","NA","74","NA","NA"
"race","Hispanic","180","1992","71.4","69.7","78.8","63.5"
"race","Hispanic","144","1994","74.3","68","77.8","NA"
"race","Hispanic","123","1996","71.3","69.1","77.9","NA"
"race","Hispanic","140","1998","73","72.4","NA","NA"
"race","Hispanic","105","2000","73.6","69.7","78.8","64.8"
"race","Hispanic","78","2002","68.9","69.6","72.9","64.9"
"race","Hispanic","93","2004","72.9","74.5","79.1","69.4"
"race","Hispanic","462","2008","71","70","80.7","66.1"
"race","Hispanic","437","2012","72.8","68.5","84.4","68.3"
"race","Hispanic","354","2016","67.7","69.4","79.3","69.3"
"race","Hispanic","647","2020","66.4","73.1","81","72.3"
"race","Hispanic","496","2024","66","69","76.6","69.9"
"race","Other/Multiple races, non-Hispanic","4","1966","NA","NA","NA","NA"
"race","Other/Multiple races, non-Hispanic","3","1968","NA","NA","NA","NA"
"race","Other/Multiple races, non-Hispanic","8","1970","NA","NA","NA","NA"
"race","Other/Multiple races, non-Hispanic","15","1972","NA","NA","NA","NA"
"race","Other/Multiple races, non-Hispanic","9","1974","NA","NA","NA","NA"
"race","Other/Multiple races, non-Hispanic","13","1976","NA","NA","NA","NA"
"race","Other/Multiple races, non-Hispanic","15","1980","NA","NA","NA","NA"
"race","Other/Multiple races, non-Hispanic","10","1982","NA","NA","NA","NA"
"race","Other/Multiple races, non-Hispanic","40","1984","67.4","58.2","57.6","NA"
"race","Other/Multiple races, non-Hispanic","36","1986","NA","64.9","NA","NA"
"race","Other/Multiple races, non-Hispanic","48","1988","71.1","67.6","61","NA"
"race","Other/Multiple races, non-Hispanic","52","1990","NA","63.6","NA","NA"
"race","Other/Multiple races, non-Hispanic","48","1992","65.6","60.3","60.1","69.8"
"race","Other/Multiple races, non-Hispanic","32","1994","63.6","60.8","57.9","NA"
"race","Other/Multiple races, non-Hispanic","35","1996","68","65.4","60","NA"
"race","Other/Multiple races, non-Hispanic","24","1998","61.4","58.9","NA","NA"
"race","Other/Multiple races, non-Hispanic","77","2000","73.7","69","64.7","69.5"
"race","Other/Multiple races, non-Hispanic","71","2002","64.6","64.1","60.6","62.9"
"race","Other/Multiple races, non-Hispanic","44","2004","69.9","67.3","64.6","71.5"
"race","Other/Multiple races, non-Hispanic","72","2008","69.1","66.9","67","69.8"
"race","Other/Multiple races, non-Hispanic","133","2012","68.2","66.1","61.3","63.5"
"race","Other/Multiple races, non-Hispanic","274","2016","68.1","67.6","65.6","72.1"
"race","Other/Multiple races, non-Hispanic","628","2020","66.1","72.6","71.9","75.1"
"race","Other/Multiple races, non-Hispanic","362","2024","63.9","68.5","67.5","72.5"
"age","18-29","287","1964","82","63.1","NA","NA"
"age","18-29","236","1966","82.4","66","NA","NA"
"age","18-29","283","1968","78","63.3","NA","NA"
"age","18-29","308","1970","74","62.2","NA","NA"
"age","18-29","606","1972","72.9","63.5","NA","NA"
"age","18-29","327","1974","74.5","65.1","NA","NA"
"age","18-29","487","1976","68.8","57.8","54.3","NA"
"age","18-29","369","1980","73.9","62.2","56.4","NA"
"age","18-29","317","1982","70.6","64","NA","NA"
"age","18-29","474","1984","71.7","66.5","60.2","NA"
"age","18-29","536","1986","NA","69.7","NA","NA"
"age","18-29","374","1988","71.8","62.8","56.3","NA"
"age","18-29","455","1990","NA","72","NA","NA"
"age","18-29","438","1992","69.8","66.8","61.4","58.6"
"age","18-29","315","1994","71.2","64.8","62.6","NA"
"age","18-29","203","1996","70.2","67.5","65.4","NA"
"age","18-29","238","1998","70","70.3","NA","NA"
"age","18-29","218","2000","73.2","68.9","68","65.8"
"age","18-29","116","2002","66.7","66.7","65.8","64.3"
"age","18-29","203","2004","66.8","71.5","65.9","65.9"
"age","18-29","364","2008","69.7","69.7","66.5","66.2"
"age","18-29","415","2012","72.5","67.8","67.1","64.6"
"age","18-29","560","2016","68.6","70.8","69.1","69.8"
"age","18-29","847","2020","62.1","74.6","73.2","71.5"
"age","18-29","447","2024","62","68.3","70.2","68.3"
"age","30-44","490","1964","82.8","63.9","NA","NA"
"age","30-44","388","1966","83.4","63.8","NA","NA"
"age","30-44","455","1968","79.4","67","NA","NA"
"age","30-44","400","1970","76.2","62.5","NA","NA"
"age","30-44","541","1972","76","63.7","NA","NA"
"age","30-44","372","1974","78.6","64.4","NA","NA"
"age","30-44","462","1976","70.2","59.9","56","NA"
"age","30-44","407","1980","76","62.7","58.7","NA"
"age","30-44","404","1982","72.1","65","NA","NA"
"age","30-44","626","1984","72.8","65.9","62.1","NA"
"age","30-44","689","1986","NA","66.7","NA","NA"
"age","30-44","619","1988","72.3","61.6","58.2","NA"
"age","30-44","628","1990","NA","70.8","NA","NA"
"age","30-44","788","1992","68.2","65.2","61.3","59.8"
"age","30-44","638","1994","69.8","64.5","62.6","NA"
"age","30-44","536","1996","70.3","65.5","64","NA"
"age","30-44","412","1998","70.6","68.9","NA","NA"
"age","30-44","482","2000","71.4","66.4","63.8","64.2"
"age","30-44","383","2002","66.5","66.5","62.4","62.8"
"age","30-44","264","2004","73.1","72.9","69.7","67.7"
"age","30-44","558","2008","70.5","67.1","65.2","63.5"
"age","30-44","539","2012","73.6","65.4","66.1","65.6"
"age","30-44","882","2016","69.3","68.1","68.3","67.1"
"age","30-44","1773","2020","67.3","72.9","72.7","69.8"
"age","30-44","1134","2024","65.6","69.8","69.4","68.8"
"age","45-59","425","1964","86","63.9","NA","NA"
"age","45-59","359","1966","83.8","64.1","NA","NA"
"age","45-59","415","1968","81.6","63.4","NA","NA"
"age","45-59","385","1970","77.4","59.6","NA","NA"
"age","45-59","497","1972","81.3","65.2","NA","NA"
"age","45-59","390","1974","81.1","66.8","NA","NA"
"age","45-59","430","1976","76.5","63.6","57.8","NA"
"age","45-59","283","1980","79","67","60.3","NA"
"age","45-59","254","1982","72.7","61.4","NA","NA"
"age","45-59","363","1984","75.3","63.2","58.7","NA"
"age","45-59","373","1986","NA","65.8","NA","NA"
"age","45-59","322","1988","73.4","61.2","57.4","NA"
"age","45-59","341","1990","NA","66.4","NA","NA"
"age","45-59","463","1992","72","65.2","62","59.9"
"age","45-59","348","1994","73","63.5","61.7","NA"
"age","45-59","353","1996","71.5","65.9","64.4","NA"
"age","45-59","287","1998","69.9","67.7","NA","NA"
"age","45-59","418","2000","73","66.4","63.4","65"
"age","45-59","420","2002","66.9","64.8","62","61.4"
"age","45-59","306","2004","74","73.1","67.4","67"
"age","45-59","606","2008","74.4","68.9","65.7","65.2"
"age","45-59","490","2012","70.2","66.7","64.5","64.7"
"age","45-59","945","2016","72.6","69.2","67.1","68.1"
"age","45-59","1673","2020","69.9","71.5","70.5","70.4"
"age","45-59","1058","2024","68.7","70.1","68.4","69.1"
"age","60+","325","1964","88.4","64.1","NA","NA"
"age","60+","282","1966","88","59.4","NA","NA"
"age","60+","346","1968","85.2","64.5","NA","NA"
"age","60+","368","1970","81.2","61.3","NA","NA"
"age","60+","464","1972","84.2","63.9","NA","NA"
"age","60+","422","1974","83.4","65.7","NA","NA"
"age","60+","479","1976","80.2","62.5","54.6","NA"
"age","60+","321","1980","82.1","66.1","56.1","NA"
"age","60+","344","1982","76","63.9","NA","NA"
"age","60+","428","1984","78.2","59.9","54.1","NA"
"age","60+","455","1986","NA","62.7","NA","NA"
"age","60+","419","1988","75.5","61.1","55.6","NA"
"age","60+","479","1990","NA","67.4","NA","NA"
"age","60+","529","1992","76.3","64.2","59.4","59.2"
"age","60+","448","1994","75","58.8","55.9","NA"
"age","60+","410","1996","73.9","65.7","61.1","NA"
"age","60+","275","1998","73.5","69.8","NA","NA"
"age","60+","367","2000","75.6","67","60.4","63.1"
"age","60+","365","2002","72.2","66.7","62.4","63.1"
"age","60+","281","2004","79.1","71.3","67.1","68.9"
"age","60+","506","2008","76.8","69.3","63.7","65.4"
"age","60+","404","2012","74.3","65.5","63.7","62.5"
"age","60+","1106","2016","74.4","68.4","68.1","69"
"age","60+","2701","2020","74","71.3","71.6","70.8"
"age","60+","1961","2024","73.8","73.3","71","71.2"
"region","South","361","1964","87.8","65.7","NA","NA"
"region","South","289","1966","86.8","62.3","NA","NA"
"region","South","372","1968","83.6","64.6","NA","NA"
"region","South","407","1970","78","59.4","NA","NA"
"region","South","573","1972","81","65.4","NA","NA"
"region","South","429","1974","82.1","66","NA","NA"
"region","South","482","1976","76.9","63.7","56.4","NA"
"region","South","405","1980","80.4","66.3","59.6","NA"
"region","South","397","1982","77.6","66.5","NA","NA"
"region","South","546","1984","75.9","64.4","58.8","NA"
"region","South","666","1986","NA","67.3","NA","NA"
"region","South","549","1988","74.8","64.7","57.3","NA"
"region","South","590","1990","NA","69.7","NA","NA"
"region","South","688","1992","74.3","67.6","61.2","59.5"
"region","South","592","1994","74.9","64.9","60.8","NA"
"region","South","525","1996","74.4","68.7","64.5","NA"
"region","South","415","1998","73.7","72.8","NA","NA"
"region","South","472","2000","74.6","67.9","63.7","63.8"
"region","South","387","2002","66.6","65.1","61.6","60.3"
"region","South","336","2004","76.3","75.6","69.4","68.8"
"region","South","918","2008","75.3","70","65.8","64.9"
"region","South","692","2012","73.1","66.6","65.5","62.9"
"region","South","1120","2016","72.9","70","68.1","67.6"
"region","South","2213","2020","70","73.8","72.9","70"
"region","South","1489","2024","68.6","71.2","68.9","68.4"
"region","Nonsouth","1171","1964","83.8","63.3","NA","NA"
"region","Nonsouth","984","1966","83.6","63.5","NA","NA"
"region","Nonsouth","1131","1968","80.2","64.8","NA","NA"
"region","Nonsouth","1062","1970","76.9","62.3","NA","NA"
"region","Nonsouth","1547","1972","77.2","63.5","NA","NA"
"region","Nonsouth","1096","1974","78","65.3","NA","NA"
"region","Nonsouth","1387","1976","72.6","59.8","55.2","NA"
"region","Nonsouth","977","1980","76.2","63.4","57.2","NA"
"region","Nonsouth","924","1982","70.8","62.6","NA","NA"
"region","Nonsouth","1356","1984","73.5","64.1","59.6","NA"
"region","Nonsouth","1390","1986","NA","66","NA","NA"
"region","Nonsouth","1186","1988","72.3","60.3","56.9","NA"
"region","Nonsouth","1313","1990","NA","69.3","NA","NA"
"region","Nonsouth","1530","1992","69.9","64.2","61","59.4"
"region","Nonsouth","1157","1994","70.3","62.3","61.2","NA"
"region","Nonsouth","979","1996","69.7","64.5","63.4","NA"
"region","Nonsouth","813","1998","69.4","67.2","NA","NA"
"region","Nonsouth","1020","2000","72.5","66.7","63.9","64.8"
"region","Nonsouth","904","2002","68.4","66.6","63.6","64"
"region","Nonsouth","718","2004","72.2","70.7","66.9","66.7"
"region","Nonsouth","1154","2008","71.5","67.9","64.8","65.1"
"region","Nonsouth","1211","2012","72.2","66.1","65.2","64.9"
"region","Nonsouth","2458","2016","70.8","68.6","68.1","68.9"
"region","Nonsouth","5049","2020","68.8","71.6","71.4","70.6"
"region","Nonsouth","3321","2024","68.3","70.6","70.3","70.2"
"knowledge","Less knowledgeable","504","1964","83","63.8","NA","NA"
"knowledge","Less knowledgeable","385","1966","85.1","61.4","NA","NA"
"knowledge","Less knowledgeable","389","1968","79.9","63.8","NA","NA"
"knowledge","Less knowledgeable","733","1970","77.5","60.9","NA","NA"
"knowledge","Less knowledgeable","384","1972","79","62.1","NA","NA"
"knowledge","Less knowledgeable","707","1976","75.2","61.4","55.3","NA"
"knowledge","Less knowledgeable","394","1980","81.5","67.4","58.4","NA"
"knowledge","Less knowledgeable","898","1982","73.7","64.6","NA","NA"
"knowledge","Less knowledgeable","830","1984","74.3","63","57.2","NA"
"knowledge","Less knowledgeable","1360","1986","NA","66.9","NA","NA"
